CAT,to_group,CLASSIF,DESCRIPTION,DESCRABREV,DESCRABREV,REFER,DESCRICAO,EXCLUIDOS
S88,,,Traumatic amputation of leg,S88   Amput traum da perna,S88 Amput traum leg,,Amputa̤̣o traum��tica da perna,
S89,,,Other injuries and unspecified leg,S89   Outr traum e os NE da perna,S89 othe traum and the NE leg,,Outros traumatismos e os ṇo especificados da perna,
S90,,,Superficial injury of ankle and foot,S90   Traum superf do tornozelo e do pe,S90 Traum surface of ankle and foot,,Traumatismo superficial do tornozelo e do p̩,
S91,,,Injuries of ankle and foot,S91   Ferim do tornozelo e do pe,S91 Ferim of ankle and foot,,Ferimentos do tornozelo e do p̩,
S92,,,Fracture of the foot (except ankle),S92   Frat do pe,S92 pe Frat,,Fratura do p̩ (exceto do tornozelo),
S93,,,"Dislocation, sprain and strain of joints and ligaments at ankle and foot level",S93   Luxac entors distens artic lig niv tornoz pe,S93 Luxac entors distension artic linked niv tornoz Standing,,"Luxa̤̣o, entorse e distenṣo das articula̵̤es e dos ligamentos ao n�_vel do tornozelo e do p̩",
S94,,,Injury of nerves at ankle and foot level,S94   Traum dos nervos ao nivel do tornozelo e pe,S94 Traum nerve at the level of ankle and foot,,Traumatismo dos nervos ao n�_vel do tornozelo e do p̩,
S95,,,Injury of blood vessels at ankle and foot level,S95   Traum vasos sanguineos nivel tornozelo e pe,S95 Traum blood vessels level ankle and foot,,Traumatismo de vasos sang�_�_neos ao n�_vel do tornozelo e do p̩,
S96,,,Injuries to the muscle and tendon at ankle and foot level,S96   Traum musculo e tendao nivel tornozelo e pe,S96 Traum muscle and tendon and ankle level pe,,Traumatismos do m̼sculo e tenḍo ao n�_vel do tornozelo e do p̩,
S97,,,Crushing injury of ankle and foot,S97   Lesao p/esmag do tornozelo e do pe,S97 Injury p / Crushing a Bone ankle and foot,,Leṣo por esmagamento do tornozelo e do p̩,
S98,,,Traumatic amputation of ankle and foot,S98   Amput traum do tornozelo e do pe,S98 Amput traum of ankle and foot,,Amputa̤̣o traum��tica do tornozelo e do p̩,
S99,,,Other and unspecified injuries of ankle and foot,S99   Outr traum e os NE do tornozelo e do pe,S99 othe traum and NE of ankle and foot,,Outros traumatismos e os ṇo especificados do tornozelo e do p̩,
T00,,,Superficial injuries involving multiple body regions,T00   Traum superf envolv mult regioes corpo,T00 Traum surface envolv mult body regions,,Traumatismos superficiais envolvendo m̼ltiplas regi̵es do corpo,
T01,,,Injuries involving multiple body regions,T01   Ferim envolv mult regioes do corpo,T01 Ferim envolv mult regions of the body,,Ferimentos envolvendo m̼ltiplas regi̵es do corpo,
T02,,,Fractures involving multiple body regions,T02   Frat envolv mult regioes do corpo,T02 Frat envolv mult regions of the body,,Fraturas envolvendo m̼ltiplas regi̵es do corpo,
T03,,,"Dislocations, sprains and strains involving multiple body regions",T03   Luxac entors distens envolv reg mult corpo,T03 Luxac entors distension envolv reg mult body,,"Luxa̵̤es, entorses e distens̵es envolvendo regi̵es m̼ltiplas do corpo",
T04,,,Injuries by crushing involving multiple body regions,T04   Traum p/esmag envolv mult regioes do corpo,T04 Traum p / Crushing a Bone envolv mult regions of the body,,Traumatismos por esmagamento envolvendo m̼ltiplas regi̵es do corpo,
T05,,,Traumatic amputations involving multiple body regions,T05   Amput traum envolv mult regioes do corpo,T05 Amput traum envolv mult regions of the body,,Amputa̵̤es traum��ticas envolvendo m̼ltiplas regi̵es do corpo,
T06,,,"Other injuries involving multiple body regions, not elsewhere classified",T06   Outr traum envolv regioes mult do corpo NCOP,T06 outr traum envolv mult regions of the body NEC,,"Outros traumatismos envolvendo regi̵es m̼ltiplas do corpo, ṇo classificados em outra parte",
T07,,,Multiple injuries not specified,T07   Traum mult NE,T07 Traum mult NE,,Traumatismos m̼ltiplos ṇo especificados,
T08,,,"Fracture of the spine, level unspecified",T08   Frat da coluna nivel NE,T08 Frat level of NE column,,"Fratura da coluna, n�_vel ṇo especificado",
T09,,,"Other injuries of spine and trunk, level unspecified",T09   Outr traum de coluna e tronco nivel NE,T09 outr traum column and trunk level NE,,"Outros traumatismos de coluna e tronco, n�_vel ṇo especificado",
T10,,,"Upper limb fracture, level unspecified",T10   Frat do membro super nivel NE,T10 Super Frat level NE member,,"Fratura do membro superior, n�_vel ṇo especificado",
T11,,,"Other injuries of upper limb, level unspecified",T11   Outr traum de membro super nivel NE,T11 outr traum super level NE member,,"Outros traumatismos de membro superior, n�_vel ṇo especificado",
T12,,,"Lower limb fracture, level unspecified",T12   Frat do membro infer nivel NE,T12 Frat infer the level NE member,,"Fratura do membro inferior, n�_vel ṇo especificado",
T13,,,"Other injuries of lower limb, level unspecified",T13   Outr traum de membro infer nivel NE,T13 outr traum to infer level NE member,,"Outros traumatismos de membro inferior, n�_vel ṇo especificado",
T14,,,Injury of unspecified body region,T14   Traum de regiao NE do corpo,T14 region of NE Traum body,,Traumatismo de regịo ṇo especificada do corpo,
T15,,,Foreign body on the outside of the eye,T15   Corpo estranho na parte externa do olho,T15 Foreign body on the outside of the eye,,Corpo estranho na parte externa do olho,
T16,,,Foreign body in the ear,T16   Corpo estranho no ouvido,T16 Foreign body in ear,,Corpo estranho no ouvido,
T17,,,Foreign body in respiratory tract,T17   Corpo estranho no trato respirat,T17 Foreign body in Respiratory tract,,Corpo estranho no trato respirat�_rio,
T18,,,Foreign body in digestive system,T18   Corpo estranho no aparelho digestivo,T18 Foreign body in digestive system,,Corpo estranho no aparelho digestivo,
T19,,,Foreign body in genitourinary tract,T19   Corpo estranho no trato geniturinario,T19 Foreign body in genitourinary tract,,Corpo estranho no trato geniturin��rio,
T20,,,Burn and corrosion of head and neck,T20   Queim e corrosao da cabeca e pescoco,T20 BURN and corrosion of head and neck,,Queimadura e corroṣo da cabe̤a e pesco̤o,
T21,,,Burn and corrosion of trunk,T21   Queim e corrosao do tronco,T21 BURN and corrosion of trunk,,Queimadura e corroṣo do tronco,
T22,,,"Burn and corrosion of shoulder and upper limb, except wrist and hand",T22   Queim corrosao ombro membr sup exc punho mao,T22 BURN corrosion shoulder Membr sup exc fist hand,,"Queimadura e corroṣo do ombro e membro superior, exceto punho e ṃo",
T23,,,Burn and corrosion of wrist and hand,T23   Queim e corrosao do punho e da mao,T23 BURN and corrosion of wrist and hand,,Queimadura e corroṣo do punho e da ṃo,
T24,,,"Burn and corrosion of hip and lower limb, except ankle and foot",T24   Queim corros quadr membro inf exc tornoz pe,T24 corrosion Wood Frame BURN member inf exc tornoz Standing,,"Queimadura e corroṣo do quadril e membro inferior, exceto tornozelo e do p̩",
T25,,,Burn and corrosion of ankle and foot,T25   Queim e corrosao do tornozelo e do pe,T25 BURN and corrosion of ankle and foot,,Queimadura e corroṣo do tornozelo e do p̩,
T26,,,Burn and corrosion limited to the eye and its annexes,T26   Queim e corrosao limitadas ao olho e anexos,BURN T26 and limited corrosion to the eye and annexes,,Queimadura e corroṣo limitadas ao olho e seus anexos,
T27,,,Burn and corrosion of respiratory tract,T27   Queim e corrosao do trato respirat,T27 BURN and corrosion of Respiratory tract,,Queimadura e corroṣo do trato respirat�_rio,
T28,,,Burn and corrosion of other internal organs,T28   Queim e corrosao de outr orgaos internos,T28 BURN and corrosion of othe internal organs,,Queimadura e corroṣo de outros �_rg̣os internos,
T29,,,Burns and corrosions of multiple body regions,T29   Queim e corrosoes de mult regioes do corpo,T29 BURN and corrosion of mult regions of the body,,Queimaduras e corros̵es de m̼ltiplas regi̵es do corpo,
T30,,,Burn and corrosion of unspecified body,T30   Queim e corrosao parte NE do corpo,T30 BURN and corrosion NE part of the body,,"Queimadura e corroṣo, parte ṇo especificada do corpo",
T31,,,Burns classified according to extent of body surface,T31   Queim classif seg ext superf corporal ating,T31 BURN classif sec ext ating body surface,,Queimaduras classificadas segundo a extenṣo da superf�_cie corporal atingida,
T32,,,Corrosion classified according to extent of body surface involved,T32   Corrosoes classif seg ext superf corp ating,T32 corrosion classif sec ext surface corp ating,,Corros̵es classificadas segundo a extenṣo da superf�_cie corporal atingida,
T33,,,Superficial frostbite,T33   Geladura superf,T33 Frostbite surface,,Geladura superficial,
T34,,,Frostbite with tissue necrosis,T34   Geladura c/necrose de tec,T34 Frostbite c / necrosis tec,,Geladura com necrose de tecidos,
T35,,,Frostbite multiple body parts and unspecified,T35   Geladura de mult partes do corpo e das NE,T35 Frostbite mult body parts and NE,,Geladura de m̼ltiplas partes do corpo e das ṇo especificadas,
T36,,,Poisoning by systemic antibiotics,T36   Intox p/antibioticos sistemicos,T36 Intox w / systemic antibiotics,,Intoxica̤̣o por antibi�_ticos sist̻micos,
T37,,,Poisoning by other anti-infective substances or systemic antiparasitic,T37   Intox outr subst antiinfecc antiparasit sist,T37 Intox othe subst antiinfecc antiparasit sist,,Intoxica̤̣o por outras subst̢ncias antiinfecciosas ou antiparasit��rias sist̻micas,
T38,,,"Poisoning by hormones and their synthetic substitutes and antagonists, not elsewhere classified",T38   Intox p/hormonios seus subst sint antag NCOP,T38 Intox p / hormones your subst sint antag NEC,,"Intoxica̤̣o por horm̫nios, seus substitutos sint̩ticos e seus antagonistas ṇo classificados em outra parte",
T39,,,"Poisoning analgesic, antipyretic and anti-rheumatic non-opioid",T39   Intox analges antipiret anti-reumat n-opiac,T39 Intox analges antipiret anti-reumat n-OPIAC,,"Intoxica̤̣o por analg̩sicos, antipir̩ticos e anti-reum��ticos ṇo-opi��ceos",
T40,,,Poisoning by narcotics and psychodysleptics [hallucinogens],T40   Intox p/narcoticos e psicodislepticos,T40 Intox p / narcotics and psychodysleptics,,Intoxica̤̣o por narc�_ticos e psicodisl̩pticos [alucin�_genos],
T41,,,Poisoning by anesthetics and therapeutic gases,T41   Intox p/anestesicos e gases terapeuticos,T41 Intox p / anesthetics and therapeutic gases,,Intoxica̤̣o por anest̩sicos e gases terap̻uticos,
T42,,,"Poisoning by antiepileptic, sedative-hypnotics",T42   Intox antiepilept sedativ-hipnot antiparkins,T42 Intox antiepilept sedativ-hipnot antiparkins,,"Intoxica̤̣o por antiepil̩pticos, sedativos-hipn�_ticos e antiparkinsonianos",
T43,,,"Poisoning by psychotropic drugs, not elsewhere classified",T43   Intox p/drogas psicotropicas NCOP,T43 Intox p / psychotropic drugs NEC,,Intoxica̤̣o por drogas psicotr�_picas ṇo classificadas em outra parte,
T44,,,Poisoning by drugs primarily affecting the autonomic nervous system,T44   Intox p/drog q afet princ sist nerv autonomo,T44 Intox p / q drog afet princess nerv syst autonomous,,Intoxica̤̣o por drogas que afetam principalmente o sistema nervoso aut̫nomo,
T45,,,"Poisoning by primarily systemic and haematological agents, not elsewhere classified",T45   Intox subst acao ess sist subst hematol NCOP,T45 Intox subst action ess sist subst hematol NEC,,"Intoxica̤̣o por subst̢ncias de a̤̣o essencialmente sist̻mica e subst̢ncias hematol�_gicas, ṇo classificadas em outra parte",
T46,,,Poisoning by agents primarily affecting the cardiovascular system,T46   Intox subst que atuam prim sobre ap circul,T46 Intox subst acting prim on ap circulat,,Intoxica̤̣o por subst̢ncias que atuam primariamente sobre o aparelho circulat�_rio,
T47,,,Poisoning by agents primarily affecting the gastrointestinal system,T47   Intox p/subst que atuam prim s/ap gastroint,T47 Intox p / subst acting prim s / ap gastroint,,Intoxica̤̣o por subst̢ncias que atuam primariamente sobre o aparelho gastrointestinal,
T48,,,Poisoning by agents primarily on smooth and skeletal muscles and the respiratory system,T48   Intox subst q at prim musc lisos esq ap resp,T48 Intox subst at q prim smooth musc left after resp,,Intoxica̤̣o por subst̢ncias que atuam primariamente sobre os m̼sculos lisos e esquel̩ticos e sobre o aparelho respirat�_rio,
T49,,,"Poisoning by topical agents primarily on the skin and mucous membranes and medicines used in ophthalmology, otolaryngology and dentistry",T49   Int subs uso top pel muc med ut oft otor odo,Int T49 subs use top pel muc med ut oft otor odo,,"Intoxica̤̣o por subst̢ncias de uso t�_pico que atuam primariamente sobre a pele e as mucosas e por medicamentos utilizados em oftalmologia, otorrinolaringologia e odontologia",
T50,,,"Poisoning by diuretics and other drugs, medicaments and biological substances and unspecified",T50   Intox diuret out drog medic subst biolog NE,T50 Intox diuret October drog medic subst biolog NE,,"Intoxica̤̣o por diur̩ticos e outras drogas, medicamentos e subst̢ncias biol�_gicas e as ṇo especificadas",
T51,,,Toxic effect of alcohol,T51   Efeito toxico do alcool,T51 Effects of toxic alcohol,,Efeito t�_xico do ��lcool,
T52,,,Toxic effect of organic solvents,T52   Efeito toxico de solventes organicos,T52 toxic effect of organic solvents,,Efeito t�_xico de solventes org̢nicos,
T53,,,Toxic effect halogenic derivatives of aliphatic and aromatic hydrocarbons,T53   Efeito tox deriv halog hidrocarb alif aromat,T53 effect tox deriv Halog hidrocarb alif aromat,,Efeito t�_xico de derivados halog̻nicos de hidrocarbonetos alif��ticos e arom��ticos,
T54,,,Toxic effect of corrosive,T54   Efeito toxico de corrosivos,T54 toxic effect of corrosive,,Efeito t�_xico de corrosivos,
T55,,,Toxic effect of soaps and detergents,T55   Efeito toxico de saboes e detergentes,T55 toxic effect of soaps and detergents,,Efeito t�_xico de sab̵es e detergentes,
T56,,,Toxic effect of metals,T56   Efeito toxico de metais,Effect T56 toxic metals,,Efeito t�_xico de metais,
T57,,,Toxic effect of other inorganic substances,T57   Efeito toxico de outr subst inorganicas,T57 toxic effect of inorganic subst othe,,Efeito t�_xico de outras subst̢ncias inorg̢nicas,
T58,,,Toxic effect of carbon monoxide,T58   Efeito toxico de monoxido de carbono,T58 toxic effect of carbon monoxide,,Efeito t�_xico do mon�_xido de carbono,
T59,,,"Toxic effect of other gases, fumes and vapors",T59   Efeito toxico de outr gases fumacas vapores,T59 toxic effect of othe gases fumes vapors,,"Efeito t�_xico de outros gases, fuma̤as e vapores",
T60,,,Toxic effect of pesticides,T60   Efeito toxico de pesticidas,T60 Toxic effect of pesticides,,Efeito t�_xico de pesticidas,
T61,,,Toxic effect of noxious substances eaten as a fruit of the sea,T61   Efeito tox subst nocivas cons como fruto mar,T61 effect tox subst harmful cons as a result in March,,Efeito t�_xico de subst̢ncias nocivas consumidas como fruto do mar,
T62,,,Toxic effect of other noxious substances eaten as food,T62   Efeito tox outr subst noc inger como aliment,T62 effect tox othe subst noc inger as aliment,,Efeito t�_xico de outras subst̢ncias nocivas ingeridas como alimento,
